Node ID,X,Y
474,121.466498,31.233824
475,121.600798,31.192233
476,121.437555,31.174279
477,121.48749,31.227764
478,121.441973,31.223413
479,121.427091,31.161741
480,121.376558,31.223112
481,121.406912,31.146241
482,121.524807,31.190226
483,121.600853,31.18944
484,121.512369,31.200527
485,121.384836,31.212347
486,121.440537,31.199277
487,121.480097,31.26581
488,121.422901,31.284086
489,121.492312,31.215901
490,121.507099,31.300977
491,121.538666,31.311524
492,121.52438,31.19104
493,121.41521,31.143859
494,121.516033,31.251591
495,121.571879,31.249763
496,121.490915,31.290597
497,121.614025,31.177744
498,121.442881,31.224789
499,121.400136,31.15749
500,121.398596,31.198903
501,121.453495,31.247938
502,121.498965,31.257937
503,121.490693,31.285794
504,121.487934,31.154941
505,121.459144,31.172754
506,121.512511,31.200378
507,121.493369,31.224681
508,121.56886,31.20553
509,121.402685,31.162503
510,121.572377,31.201384
511,121.561238,31.226363
512,121.386902,31.244022
513,121.555949,31.180485
514,121.523083,31.216824
515,121.401107,31.28086
516,121.538685,31.307058
517,121.544927,31.301299
518,121.497594,31.263719
519,121.470558,31.230097
520,121.506546,31.269884
521,121.419654,31.143494
522,121.429434,31.177225
523,121.549723,31.291789
524,121.483346,31.255204
525,121.457021,31.241958
526,121.519956,31.294972
527,121.608616,31.19806
528,121.539199,31.260675
529,121.551362,31.243675
530,121.475307,31.277697
531,121.474475,31.223223
532,121.583303,31.207631
533,121.459321,31.185566
534,121.466845,31.276411
535,121.511635,31.203041
536,121.479152,31.250344
537,121.409005,31.185494
538,121.449726,31.294375
539,121.501424,31.237729
540,121.393412,31.268991
541,121.471814,31.193431
542,121.489798,31.293168
543,121.550962,31.231945
544,121.450573,31.261017
545,121.47846,31.204385
546,121.558736,31.204123
547,121.472625,31.256577
548,121.611275,31.17731
549,121.380884,31.232768
550,121.585283,31.208091
551,121.42822,31.185769
552,121.456155,31.242539
553,121.541042,31.258607
554,121.533386,31.211581
555,121.455138,31.230212
556,121.481119,31.205754
557,121.499014,31.221797
558,121.434276,31.255682
559,121.528471,31.199017
560,121.402412,31.235513
561,121.433117,31.214194
562,121.49402,31.229354
563,121.417529,31.28784
564,121.47025,31.224612
565,121.410441,31.204847
566,121.449931,31.258134
567,121.395152,31.175344
568,121.569631,31.237397
569,121.532997,31.282545
570,121.431687,31.149991
571,121.405099,31.287229
572,121.471358,31.195363
573,121.400122,31.205876
574,121.491774,31.253406
575,121.493977,31.212644
576,121.527774,31.189832
577,121.484844,31.155732
578,121.485963,31.239575
579,121.436807,31.219174
580,121.503162,31.259456
581,121.582747,31.177696
582,121.575151,31.225715
583,121.630444,31.186443
584,121.407753,31.180188
585,121.52902,31.1874
586,121.495148,31.158211
587,121.531738,31.218414
588,121.51603,31.208828
589,121.430619,31.21236
590,121.490136,31.213707
591,121.490172,31.292336
592,121.506828,31.236144
593,121.429146,31.15741
594,121.405091,31.258121
595,121.5618,31.181103
596,121.381459,31.207084
597,121.618023,31.198802
598,121.493881,31.268024
599,121.513201,31.258109
600,121.420544,31.235568
601,121.504367,31.232454
602,121.421929,31.195574
603,121.457172,31.250205
604,121.417447,31.292178
605,121.463839,31.253611
606,121.47763,31.274495
607,121.495311,31.225397
608,121.59912,31.215122
609,121.522701,31.200197
610,121.513763,31.186789
611,121.55349,31.241756
612,121.522196,31.289688
613,121.534768,31.271364
614,121.498021,31.224022
615,121.560436,31.21864
616,121.550567,31.192289
617,121.449693,31.183776
618,121.448481,31.215412
619,121.535096,31.170193
620,121.466828,31.230823
621,121.585539,31.240475
622,121.483498,31.290448
623,121.521003,31.2621
624,121.43548,31.197343
625,121.505219,31.184206
626,121.398085,31.188323
627,121.460855,31.240885
628,121.417655,31.287951
629,121.57333,31.214457
630,121.484138,31.156212
631,121.587219,31.170905
632,121.409154,31.193379
633,121.608119,31.219564
634,121.554352,31.253671
635,121.375391,31.207937
636,121.417487,31.22769
637,121.451751,31.283215
638,121.544241,31.288858
639,121.469914,31.194481
640,121.546741,31.239104
641,121.492346,31.293284
642,121.508017,31.253996
643,121.529989,31.226917
644,121.438752,31.193996
645,121.470615,31.234906
646,121.439905,31.213103
647,121.433157,31.258926
648,121.508736,31.298203
649,121.561569,31.213492
650,121.554223,31.253529
651,121.580433,31.185583
652,121.55232,31.278466
653,121.42532,31.226072
654,121.427011,31.189352
655,121.410769,31.217247
656,121.494052,31.261269
657,121.424063,31.152309
658,121.629353,31.193685
659,121.497236,31.225317
660,121.432145,31.151996
661,121.533783,31.251706
662,121.450076,31.170026
663,121.440758,31.233849
664,121.410876,31.18599
665,121.376234,31.215019
666,121.451969,31.255346
667,121.417411,31.292235
668,121.480662,31.165685
669,121.486757,31.254047
670,121.527653,31.257813
671,121.473054,31.167677
672,121.481932,31.273859
673,121.427103,31.245618
674,121.438385,31.194398
675,121.433148,31.231031
676,121.435766,31.238304
677,121.594083,31.247185
678,121.481189,31.282442
679,121.462178,31.231054
680,121.391407,31.251499
681,121.479634,31.273456
682,121.534602,31.242261
683,121.470402,31.287232
684,121.505938,31.154445
685,121.419895,31.177796
