Link ID,From Node,To Node,LENGTH,ID,POSSPEED,ROADWIDTH,FC,DIR,PYNAME
1840,1180,10654,0.025376,43733,50,-1,6,0,None
1841,1181,9386,0.067202,13642,30,4,7,0,None
1842,1181,5391,0.048786,13641,40,8,7,0,YU YUAN LU
1843,1182,7368,0.327258,46209,50,17,7,0,SHANG ZHONG XI LU
1844,1182,5384,0.020438,46138,40,8,7,0,TIAN DENG LU
1845,1184,6594,0.237547,16699,40,8,7,0,None
1846,1184,10891,0.244857,16693,50,8,7,0,KAI XUAN LU
1847,1185,10714,0.10958,11825,50,12,4,0,LU BAN LU
1848,1186,5945,0.652121,65407,50,12,6,0,JIN XIU LU
1849,1187,1694,0.131184,44897,40,8,7,0,JIANG CHANG 3 LU
1850,1188,6234,0.173171,78890,40,16,7,0,YUN TAI LU
1851,1189,9125,0.003526,11940,40,8,7,0,None
1852,1190,4756,0.301473,6007,30,2,7,0,SAN XING LU
1853,1190,2335,0.218535,6010,50,4,7,0,PING LIANG LU
1854,1191,4719,0.097406,19750,30,6,7,0,FENG YANG LU
1855,1192,8484,0.278923,74877,40,8,7,0,BEI ZHONG LU
1856,1192,10892,0.152661,69034,40,5,7,0,LIAN XI LU
1857,1193,3991,0.4602,64839,60,9,6,0,HU NAN LU
1858,1194,9107,0.008796,12897,50,8,7,0,None
1859,1195,10629,0.180253,43798,30,6,7,0,PAN SHAN LU
1860,1196,5346,0.058235,12704,60,12,7,0,HENG FENG LU
1861,1197,5556,0.175127,75367,30,6,7,0,None
1862,1198,4092,0.014143,13093,40,8,7,0,None
1863,1198,10989,0.199317,12902,60,12,6,0,CHANG SHOU LU
1864,1199,10561,1.036587,18599,90,12,0,0,JING HU GAO SU
1865,1199,8259,0.063716,18462,70,8,1,0,None
1866,1200,6391,0.148652,72754,30,4,7,0,YIN JIA BANG LU 308 LONG
1867,1200,8667,0.33171,72752,30,6,7,0,YIN JIA BANG 311 LONG
1868,1200,11295,0.128294,72755,30,6,7,0,YIN JIA BANG LU
