Link ID,From Node,To Node,LENGTH,KIND,WIDTH,DIRECTION,ONEWAY,PATHPY
10152,6404,1473,0.290398,601,55,1,None,chang wa dong yi jie
10153,6405,9800,0.14176,302,55,3,T,ke ji da dao
10154,6405,1703,0.030207,301,55,3,T,nan si huan xi lu fu lu
10155,6406,3178,0.045424,402,55,3,T,guang an men qiao
10156,6406,6998,0.219603,401,30,3,T,None
10157,6407,8377,1.731558,102,130,3,T,si huan
10158,6407,1547,0.118244,3,55,2,F,jing tong kuai su gong lu
10159,6407,5788,0.225286,102,130,2,F,si huan
10160,6408,6160,0.030239,201,30,3,T,None
10161,6408,8786,0.298115,601,30,3,T,nan yuan lu
10162,6409,6280,0.324241,105,30,3,T,san huan
10163,6409,3230,0.159242,302,130,2,F,fu xing lu
10164,6411,3560,0.011454,604,55,1,None,None
10165,6411,4290,0.110732,302,55,3,T,an ding men wai da jie
10166,6411,7854,0.207802,302,55,2,F,an ding men wai da jie
10167,6412,2283,0.476256,601,55,1,None,chang zhi lu
10168,6412,4655,0.339097,601,55,1,None,che dao gou nan lu
10169,6414,4225,0.25511,602,55,2,F,zuo an lu
10170,6414,90,0.021172,301,55,3,T,dong san huan nan lu fu lu
10171,6414,4059,0.052019,304,55,3,T,None
10172,6415,7421,0.402848,601,55,1,None,None
10173,6416,7904,0.759198,3,55,2,F,jing cheng gao su gong lu
